index,answer
index_0,14.0
index_1,19.0
index_2,17.0
index_3,21.0
index_4,32.0
index_5,27.0
index_6,17.0
index_7,25.0
index_8,38.0
index_9,15.0
index_10,27.0
index_11,28.0
index_12,31.0
index_13,23.0
index_14,18.0
index_15,40.0
index_16,35.0
index_17,9.0
index_18,13.0
index_19,16.0
index_20,24.0
index_21,10.0
index_22,2.0
index_23,14.0
index_24,18.0
index_25,24.0
index_26,16.0
index_27,35.0
index_28,23.0
index_29,20.0
index_30,13.0
index_31,16.0
index_32,28.0
index_33,7.0
index_34,6.0
index_35,12.0
index_36,12.0
index_37,19.0
index_38,14.0
index_39,5.0
index_40,15.0
index_41,9.0
index_42,6.0
index_43,10.0
index_44,10.0
index_45,11.0
index_46,7.0
index_47,3.0
index_48,3.0
index_49,7.0
index_50,2.0
index_51,4.0
index_52,6.0
index_53,6.0
index_54,9.0
index_55,4.0
index_56,5.0
index_57,2.0
index_58,6.0
index_59,10.0
index_60,11.0
index_61,5.0
index_62,8.0
index_63,2.0
index_64,5.0
index_65,10.0
index_66,6.0
index_67,13.0
index_68,9.0
index_69,5.0
index_70,7.0
index_71,14.0
index_72,18.0
index_73,8.0
index_74,9.0
index_75,7.0
index_76,12.0
index_77,12.0
index_78,17.0
index_79,22.0
index_80,31.0
index_81,21.0
index_82,21.0
index_83,14.0
index_84,14.0
index_85,9.0
index_86,7.0
index_87,14.0
index_88,14.0
index_89,11.0
index_90,17.0
index_91,18.0
index_92,10.0
index_93,3.0
index_94,11.0
index_95,4.0
index_96,8.0
index_97,5.0
index_98,8.0
index_99,10.0
index_100,10.0
index_101,11.0
index_102,11.0
index_103,17.0
index_104,11.0
index_105,15.0
index_106,15.0
index_107,10.0
index_108,6.0
index_109,11.0
index_110,7.0
index_111,8.0
index_112,8.0
index_113,30.0
index_114,6.0
index_115,19.0
index_116,18.0
index_117,13.0
index_118,5.0
index_119,11.0
index_120,9.0
index_121,19.0
index_122,27.0
index_123,20.0
index_124,37.0
index_125,14.0
index_126,12.0
index_127,23.0
index_128,31.0
index_129,12.0
index_130,13.0
index_131,17.0
index_132,14.0
index_133,27.0
index_134,38.0
index_135,44.0
index_136,20.0
index_137,13.0
index_138,24.0
index_139,37.0
index_140,12.0
index_141,11.0
index_142,25.0
index_143,35.0
index_144,15.0
index_145,21.0
index_146,12.0
index_147,30.0
index_148,21.0
index_149,34.0
index_150,40.0
index_151,19.0
index_152,31.0
index_153,12.0
index_154,3.0
index_155,16.0
index_156,7.0
index_157,11.0
index_158,9.0
index_159,15.0
index_160,17.0
index_161,3.0
index_162,10.0
index_163,23.0
index_164,7.0
index_165,11.0
index_166,13.0
index_167,9.0
index_168,5.0
index_169,6.0
index_170,3.0
index_171,5.0
index_172,-3.0
index_173,-4.0
index_174,1.0
index_175,3.0
index_176,10.0
index_177,7.0
index_178,9.0
index_179,4.0
index_180,6.0
index_181,5.0
index_182,3.0
index_183,-2.0
index_184,5.0
index_185,8.0
index_186,9.0
index_187,10.0
index_188,9.0
index_189,11.0
index_190,15.0
index_191,9.0
index_192,7.0
index_193,7.0
index_194,13.0
index_195,12.0
index_196,10.0
index_197,8.0
index_198,12.0
index_199,20.0
index_200,13.0
index_201,16.0
index_202,12.0
index_203,19.0
index_204,33.0
index_205,9.0
index_206,20.0
index_207,8.0
index_208,13.0
index_209,10.0
index_210,7.0
index_211,16.0
index_212,23.0
index_213,24.0
index_214,-1.0
index_215,3.0
index_216,6.0
index_217,6.0
index_218,9.0
index_219,10.0
index_220,14.0
index_221,12.0
index_222,12.0
index_223,8.0
index_224,19.0
index_225,19.0
index_226,15.0
index_227,11.0
index_228,4.0
index_229,4.0
index_230,1.0
index_231,10.0
index_232,28.0
index_233,-1.0
index_234,16.0
index_235,21.0
index_236,15.0
index_237,8.0
index_238,9.0
index_239,11.0
index_240,13.0
index_241,13.0
index_242,30.0
index_243,9.0
